profile,profile-href,Name,GRE,TOEFL,UG_Score,work_exp,paper,nexpage,nexpage-href,background,year
"neomanu","https://yocket.in/profiles/neomanu","","GRE

308 


Quant: 154

Verbal: 154","TOEFL
105","UG Score
55.87%","Work Exp.
3 months","Tech Papers
None","","https://yocket.in/applications-admits-rejects/628-state-university-of-new-york-at-binghamton/3?page=2","Undergrad:

Computer Science from Xavier Institute Of Engineering, Mahim, Mumbai","Computer Science (Fall 2016)"
"Sajjad","https://yocket.in/profiles/Sajjad","","GRE

303 


Quant: 156

Verbal: 147","TOEFL
111","UG Score
56%","Work Exp.
NA","Tech Papers
None","","","Undergrad:

Computer Science from Rizvi College Of Engineering, Bandra, Mumbai","Computer Science (Spring 2017)"
"isaacjanga.stupidsid","https://yocket.in/profiles/isaacjanga.stupidsid","","GRE

307 


Quant: 158

Verbal: 149","IELTS
7","UG Score
67%","Work Exp.
NA","Tech Papers
None","","https://yocket.in/applications-admits-rejects/628-state-university-of-new-york-at-binghamton/3?page=3","Undergrad:

Computer Science from Mahatma Gandhi Institute Of Technology (MGIT), Hyderabad","Computer Science (Fall 2013)"
"Bhavz038","https://yocket.in/profiles/Bhavz038","","GRE

303 


Quant: 158

Verbal: 145","TOEFL
96","UG Score
62%","Work Exp.
49 months","Tech Papers
None","","","Undergrad:

Electronics and Communication Engineering from Yeshwantrao Chavan College of Engineering, Nagpur","Computer Science (Fall 2017)"
"siva","https://yocket.in/profiles/siva","","GRE

304 


Quant: 158

Verbal: 146","IELTS
7.5","UG Score
7CGPA","Work Exp.
NA","Tech Papers
None","","https://yocket.in/applications-admits-rejects/628-state-university-of-new-york-at-binghamton/3?page=2","Undergrad:

Computer Science from Sri krishna college of Engineering and technology, Coimbatore","Information Systems (Fall 2016)"
"satyam.prakash01","https://yocket.in/profiles/satyam.prakash01","","GRE

315 


Quant: 163

Verbal: 152","TOEFL
97","UG Score
61%","Work Exp.
NA","Tech Papers
None","","https://yocket.in/applications-admits-rejects/628-state-university-of-new-york-at-binghamton/3?page=3","Undergrad:

Computer Science from Shivajirao S. Jondhale College Of Engineering, Dombivali, Mumbai","Computer Science (Fall 2014)"
"prakashwagle","https://yocket.in/profiles/prakashwagle","","GRE

308 


Quant: 158

Verbal: 150","TOEFL
110","UG Score
61%","Work Exp.
30 months","Tech Papers
None","","https://yocket.in/applications-admits-rejects/628-state-university-of-new-york-at-binghamton/3?page=3","Undergrad:

NA","Computer Science (Fall 2014)"
"Saurabh23","https://yocket.in/profiles/Saurabh23","","GRE

304 


Quant: 154

Verbal: 150","TOEFL
95","UG Score
6.1CGPA","Work Exp.
NA","Tech Papers
International","","https://yocket.in/applications-admits-rejects/628-state-university-of-new-york-at-binghamton/3?page=2","Undergrad:

Electronics and Communication Engineering from Dwarkadas. J.Sanghvi college of engineering, Mumbai","Computer Science (Spring 2017)"
"rohithr123","https://yocket.in/profiles/rohithr123","","GRE

298 


Quant: 152

Verbal: 146","TOEFL
87","UG Score
66%","Work Exp.
16 months","Tech Papers
None","","https://yocket.in/applications-admits-rejects/628-state-university-of-new-york-at-binghamton/3?page=2","Undergrad:

Computer Science from Amrutha Institute Of Engineering And Mgmt. Sciences, Bengaluru","Computer Engineering (Fall 2016)"
"vaghelarahul94","https://yocket.in/profiles/vaghelarahul94","","GRE

302 


Quant: 158

Verbal: 144","IELTS
6.5","UG Score
6.9CGPA","Work Exp.
NA","Tech Papers
None","","https://yocket.in/applications-admits-rejects/628-state-university-of-new-york-at-binghamton/3?page=2","Undergrad:

Computer Science from Ahmedabad Institute of Technology, Ahmedabad","Interested in Computer Science / Information Technology (Fall 2016)"
"Adiindallad","https://yocket.in/profiles/Adiindallad","","GRE

307 


Quant: 159

Verbal: 148","TOEFL
91","UG Score
6.25CGPA","Work Exp.
12 months","Tech Papers
None","","","Undergrad:

Information Technology from SRM University (Ramapuram Campus), Chennai","Computer Science (Spring 2017)"
"biswarnjn","https://yocket.in/profiles/biswarnjn","","GRE

299 


Quant: 150

Verbal: 149","TOEFL
89","UG Score
7.09CGPA","Work Exp.
36 months","Tech Papers
None","","","Undergrad:

Electronics and Communication Engineering from Bijupattnaik University Of Technology, Rourkela, Bhubaneshwar","Interested in Computer Science / Information Technology (Fall 2017)"
"poojakatte","https://yocket.in/profiles/poojakatte","","GRE

302 


Quant: 151

Verbal: 151","TOEFL
99","UG Score
61%","Work Exp.
24 months","Tech Papers
National","","https://yocket.in/applications-admits-rejects/628-state-university-of-new-york-at-binghamton/3?page=2","Undergrad:

Computer Science from Pune University, Pune","Interested in Computer Science / Information Technology (Fall 2016)"
"mhatremahesh","https://yocket.in/profiles/mhatremahesh","","GRE

302 


Quant: 160

Verbal: 142","TOEFL
95","UG Score
63%","Work Exp.
NA","Tech Papers
None","","https://yocket.in/applications-admits-rejects/628-state-university-of-new-york-at-binghamton/3?page=3","Undergrad:

Electronics and Communication Engineering from SIES Graduate School Of Technology, Nerul, Mumbai","Computer Science (Spring 2016)"
"harshk17","https://yocket.in/profiles/harshk17","","GRE

298 


Quant: 152

Verbal: 146","TOEFL
99","UG Score
60%","Work Exp.
36 months","Tech Papers
None","","","Undergrad:

Information Technology from BRACT's Vishwakarma Institute Of Information Technology (VIIT), Kondhwa, Pune","Computer Science (Fall 2017)"
"Ruthvick","https://yocket.in/profiles/Ruthvick","","GRE

298 


Quant: 157

Verbal: 141","TOEFL
86","UG Score
65%","Work Exp.
NA","Tech Papers
None","","","Undergrad:

Computer Science from CMR College of Engineering & Technology (CMRK), Hyderabad","Computer Science (Fall 2017)"
"its.chidanand","https://yocket.in/profiles/its.chidanand","","GRE

305 


Quant: 157

Verbal: 148","TOEFL
101","UG Score
60%","Work Exp.
NA","Tech Papers
None","","https://yocket.in/applications-admits-rejects/628-state-university-of-new-york-at-binghamton/3?page=2","Undergrad:

Computer Science from Global Academy Of Technology, Bengaluru","Computer Science (Fall 2016)"
"Demon999","https://yocket.in/profiles/Demon999","","GRE

293 


Quant: 153

Verbal: 140","IELTS
6.5","UG Score
7CGPA","Work Exp.
10 months","Tech Papers
None","","","Undergrad:

Computer Science from LDRP-ITR, Gandhinagar","Computer Science (Fall 2017)"
"priyankaupadhyayy","https://yocket.in/profiles/priyankaupadhyayy","","GRE

300 


Quant: 152

Verbal: 148","TOEFL
102","UG Score
72.3%","Work Exp.
NA","Tech Papers
None","","https://yocket.in/applications-admits-rejects/628-state-university-of-new-york-at-binghamton/3?page=3","Undergrad:

Information Technology from City Womens College Of Engineering And Technology, Hyderabad","Interested in Computer Science / Information Technology (Fall 2015)"
"chiraaglimaye","https://yocket.in/profiles/chiraaglimaye","","GRE

305 


Quant: 161

Verbal: 144","TOEFL
110","UG Score
6.4CGPA","Work Exp.
NA","Tech Papers
None","","","Undergrad:

Information Technology from Don Bosco Institute Of Technology, Kurla, Mumbai","Computer Science (Fall 2017)"
"NirajK","https://yocket.in/profiles/NirajK","","GRE

294 


Quant: 150

Verbal: 144","TOEFL
87","UG Score
64.35%","Work Exp.
22 months","Tech Papers
None","","","Undergrad:

Computer Science from Vidyalankar Institute Of Technology (VIT), Wadala, Mumbai","Interested in Computer Science / Information Technology (Fall 2017)"
"rohanshah.stupidsid","https://yocket.in/profiles/rohanshah.stupidsid","","GRE

312 


Quant: 165

Verbal: 147","TOEFL
101","UG Score
63%","Work Exp.
10 months","Tech Papers
None","","https://yocket.in/applications-admits-rejects/628-state-university-of-new-york-at-binghamton/3?page=3","Undergrad:

Instrumentation Engineering from Atharva College Of Engineering, Malad, Mumbai","Interested in Computer Science / Information Technology (Fall 2013)"
"davebrijesh7","https://yocket.in/profiles/davebrijesh7","","GRE

293 


Quant: 156

Verbal: 137","TOEFL
81","UG Score
8.37CGPA","Work Exp.
4 months","Tech Papers
International","","https://yocket.in/applications-admits-rejects/628-state-university-of-new-york-at-binghamton/3?page=2","Undergrad:

Electronics and Communication Engineering from Government Engineering College, Bhavnagar, Bhavnagar","Interested in Electrical / Electronics / Telecomm (Fall 2017)"
"Karishma1234","https://yocket.in/profiles/Karishma1234","","GRE

300 


Quant: 157

Verbal: 143","TOEFL
89","UG Score
59.96%","Work Exp.
43 months","Tech Papers
None","","","Undergrad:

Electrical and Electronics Engineering from University of Mumbai, Mumbai","Information Systems (Fall 2017)"
"swapnilyocket","https://yocket.in/profiles/swapnilyocket","","GRE

303 


Quant: 158

Verbal: 145","TOEFL
86","UG Score
54%","Work Exp.
NA","Tech Papers
Local","","https://yocket.in/applications-admits-rejects/628-state-university-of-new-york-at-binghamton/3?page=2","Undergrad:

Computer Science from Dr D Y Patil Institutes Of Technology,pimpri,pune, Pune","Computer Science (Fall 2016)"
"ann1612","https://yocket.in/profiles/ann1612","","GRE

296 


Quant: 148

Verbal: 148","TOEFL
86","UG Score
71%","Work Exp.
30 months","Tech Papers
None","","https://yocket.in/applications-admits-rejects/628-state-university-of-new-york-at-binghamton/3?page=2","Undergrad:

Computer Science from Rajiv Gandhi Institute Of Technology, Bengaluru","Interested in Computer Science / Information Technology (Fall 2016)"
"aishwariyar","https://yocket.in/profiles/aishwariyar","","GRE

299 


Quant: 154

Verbal: 145","TOEFL
102","UG Score
6.87CGPA","Work Exp.
3 months","Tech Papers
None","","","Undergrad:

Information Technology from Pillai HOC College of Engineering and Technology, Rasayani, Mumbai","Interested in Computer Science / Information Technology (Fall 2017)"
"shravkumar","https://yocket.in/profiles/shravkumar","","GRE

302 


Quant: 157

Verbal: 145","TOEFL
100","UG Score
54.6%","Work Exp.
NA","Tech Papers
International","","https://yocket.in/applications-admits-rejects/628-state-university-of-new-york-at-binghamton/3?page=3","Undergrad:

Computer Science from reva institute of technology and management, Bengaluru","Computer Science (Fall 2016)"
"Deep99","https://yocket.in/profiles/Deep99","","GRE

292 


Quant: 151

Verbal: 141","TOEFL
84","UG Score
8.07CGPA","Work Exp.
NA","Tech Papers
None","","https://yocket.in/applications-admits-rejects/628-state-university-of-new-york-at-binghamton/3?page=2","Undergrad:

Computer Science from Ahmedabad Institute of Technology, Ahmedabad","Interested in Computer Science / Information Technology (Fall 2016)"
"chetancc","https://yocket.in/profiles/chetancc","","GRE

296 


Quant: 153

Verbal: 143","TOEFL
89","UG Score
58%","Work Exp.
NA","Tech Papers
None","","https://yocket.in/applications-admits-rejects/628-state-university-of-new-york-at-binghamton/3?page=3","Undergrad:

Computer Science from Mahatma Gandhi Mission College of Engineering And Technology, Mumbai","Interested in Computer Science / Information Technology (Fall 2015)"
"hrishi04","https://yocket.in/profiles/hrishi04","","GRE

301 


Quant: 158

Verbal: 143","TOEFL
81","UG Score
60%","Work Exp.
20 months","Tech Papers
National","","","Undergrad:

Electronics and Communication Engineering from Pune University, Pune","Computer Science (Fall 2017)"
"shashank12","https://yocket.in/profiles/shashank12","","GRE

295 


Quant: 150

Verbal: 145","TOEFL
90","UG Score
60%","Work Exp.
NA","Tech Papers
International","","https://yocket.in/applications-admits-rejects/628-state-university-of-new-york-at-binghamton/3?page=2","Undergrad:

Computer Science from Vidyalankar Institute Of Technology (VIT), Wadala, Mumbai","Interested in Computer Science / Information Technology (Fall 2016)"
