profile,profile-href,Name,GRE,TOEFL,UG_Score,work_exp,paper,nexpage,nexpage-href,background,year
"mayank8650","https://yocket.in/profiles/mayank8650","","GRE

325 


Quant: 166

Verbal: 159","TOEFL
113","UG Score
9CGPA","Work Exp.
20 months","Tech Papers
International","","https://yocket.in/applications-admits-rejects/9-carnegie-mellon-university/2?page=2","Undergrad:

Computer Science from Vellore Institute of Technology (VIT University), Vellore","Computer Science (Fall 2014)"
"yashkelkar.stupidsid","https://yocket.in/profiles/yashkelkar.stupidsid","","GRE

315 


Quant: 164

Verbal: 151","TOEFL
106","UG Score
59%","Work Exp.
20 months","Tech Papers","","","Undergrad:

Computer Science from Marathwada Mitra Mandal's College Of Engineering (MMCOE), Pune","Computer Science (Fall 2013)"
"hkesavam","https://yocket.in/profiles/hkesavam","","GRE

322 


Quant: 164

Verbal: 158","TOEFL
112","UG Score
9.24CGPA","Work Exp.
12 months","Tech Papers
None","","","Undergrad:

Computer Science from Visvesvaraya Technological University , Bengaluru","Interested in Computer Science / Information Technology (Fall 2017)"
"tushardadlani.stupidsid","https://yocket.in/profiles/tushardadlani.stupidsid","","GRE

314 


Quant: 164

Verbal: 150","TOEFL
108","UG Score
7.57CGPA","Work Exp.
NA","Tech Papers
None","","","Undergrad:

Computer Science from Manipal Institute of Technology (MIT), Manipal","Computer Science (Fall 2013)"
"sidd9619","https://yocket.in/profiles/sidd9619","","GRE

325 


Quant: 168

Verbal: 157","TOEFL
110","UG Score
9.1CGPA","Work Exp.
10 months","Tech Papers
None","","","Undergrad:

NA","Interested in Computer Science / Information Technology (Fall 2015)"
"Divyansh9196","https://yocket.in/profiles/Divyansh9196","","GRE

330 


Quant: 168

Verbal: 162","TOEFL
109","UG Score
9.45CGPA","Work Exp.
4 months","Tech Papers
International","","","Undergrad:

Computer Science from Thapar University, Patiala","Interested in Computer Science / Information Technology (Fall 2017)"
"meghnanatraj","https://yocket.in/profiles/meghnanatraj","","GRE

322 


Quant: 170

Verbal: 152","TOEFL
112","UG Score
9.44CGPA","Work Exp.
30 months","Tech Papers
None","","https://yocket.in/applications-admits-rejects/9-carnegie-mellon-university/2?page=2","Undergrad:

Computer Science from MS Ramaiah Institute Of Techniology, Bengaluru","Computer Science (Fall 2015)"
"payal28","https://yocket.in/profiles/payal28","","GRE

323 


Quant: 164

Verbal: 159","TOEFL
116","UG Score
76.91%","Work Exp.
NA","Tech Papers
International","","https://yocket.in/applications-admits-rejects/9-carnegie-mellon-university/2?page=2","Undergrad:

NA","Interested in Computer Science / Information Technology (Fall 2015)"
"swatikatta.stupidsid","https://yocket.in/profiles/swatikatta.stupidsid","","GRE

329 


Quant: 166

Verbal: 163","TOEFL
114","UG Score
80%","Work Exp.
10 months","Tech Papers
None","","","Undergrad:

Computer Science from DJ Sanghvi College Of Engineering, Vile Parle, Mumbai","Computer Science (Fall 2013)"
"arunkam","https://yocket.in/profiles/arunkam","","GRE

315 


Quant: 161

Verbal: 154","TOEFL
111","UG Score
8.75CGPA","Work Exp.
30 months","Tech Papers
None","","https://yocket.in/applications-admits-rejects/9-carnegie-mellon-university/2?page=2","Undergrad:

Computer Science from SASTRA University , Thanjavur","Interested in Computer Science / Information Technology (Fall 2015)"
"mitesh","https://yocket.in/profiles/mitesh","","GRE

315 


Quant: 167

Verbal: 148","TOEFL
109","UG Score
66%","Work Exp.
NA","Tech Papers
None","","","Undergrad:

Biotechnology Engineering from Gurukul Institute of Engineering & Technology, Kota","Interested in Electrical / Electronics / Telecomm (Spring 2016)"
"ramkinkers","https://yocket.in/profiles/ramkinkers","","GRE

319 


Quant: 162

Verbal: 157","TOEFL
113","UG Score
8CGPA","Work Exp.
30 months","Tech Papers
International","","","Undergrad:

Computer Science from Vellore Institute of Technology (VIT University), Chennai","Interested in Computer Science / Information Technology (Fall 2016)"
"mayank2092","https://yocket.in/profiles/mayank2092","","GRE

325 


Quant: 166

Verbal: 159","TOEFL
113","UG Score
9CGPA","Work Exp.
20 months","Tech Papers
International","","https://yocket.in/applications-admits-rejects/9-carnegie-mellon-university/2?page=2","Undergrad:

Computer Science from Vellore Institute of Technology (VIT University), Vellore","Computer Science (Fall 2014)"
"hearsid","https://yocket.in/profiles/hearsid","","GRE

appearing
31 Mar","TOEFL/IELTS
N.A.","UG Score
64%","Work Exp.
10 months","Tech Papers
Local","","https://yocket.in/applications-admits-rejects/9-carnegie-mellon-university/2?page=2","Undergrad:

Electronics and Communication Engineering from International Institute of Management Engineering & Technology, Jaipur","Interested in Computer Science / Information Technology (Fall 2016)"
"potnisakshay","https://yocket.in/profiles/potnisakshay","","GRE

315 


Quant: 162

Verbal: 153","TOEFL
116","UG Score
79%","Work Exp.
20 months","Tech Papers
International","","","Undergrad:

NA","Interested in Computer Science / Information Technology (Fall 2015)"
"aditya6589","https://yocket.in/profiles/aditya6589","","GRE

320 


Quant: 160

Verbal: 160","TOEFL
100","UG Score
89%","Work Exp.
12 months","Tech Papers
Local","","","Undergrad:

Computer Science from Dhirubhai Ambani Institute of Information & Communication Technology (DA-IICT), Gandhinagar","Interested in Computer Science / Information Technology (Fall 2017)"
"rahul003","https://yocket.in/profiles/rahul003","","GRE

329 


Quant: 165

Verbal: 164","TOEFL
118","UG Score
8.34CGPA","Work Exp.
10 months","Tech Papers
None","","","Undergrad:

NA","Interested in Computer Science / Information Technology (Fall 2015)"
"abirami_s","https://yocket.in/profiles/abirami_s","","GRE

320 


Quant: 158

Verbal: 162","TOEFL
114","UG Score
9CGPA","Work Exp.
10 months","Tech Papers
Local","","","Undergrad:

Electronics and Communication Engineering from SRM University (Kattankulathur Campus), Chennai","Interested in Computer Science / Information Technology (Fall 2016)"
"sandeep123.stupidsid","https://yocket.in/profiles/sandeep123.stupidsid","","GRE

319 


Quant: 161

Verbal: 158","TOEFL
110","UG Score
8.75CGPA","Work Exp.
10 months","Tech Papers
National","","https://yocket.in/applications-admits-rejects/9-carnegie-mellon-university/2?page=2","Undergrad:

Computer Science from Vellore Institute of Technology (VIT University), Vellore","Computer Science (Fall 2014)"
"paragagrawal.stupidsid","https://yocket.in/profiles/paragagrawal.stupidsid","","GRE

326 


Quant: 169

Verbal: 157","TOEFL
106","UG Score
9.5CGPA","Work Exp.
20 months","Tech Papers","","https://yocket.in/applications-admits-rejects/9-carnegie-mellon-university/2?page=2","Undergrad:

Computer Science from Indian Institute of Technology, Guwahati (IIT-G), Guwahati","Computer Science (Fall 2013)"
"ak2rockk93","https://yocket.in/profiles/ak2rockk93","","GRE

321 


Quant: 167

Verbal: 154","TOEFL
108","UG Score
67.1%","Work Exp.
10 months","Tech Papers
None","","","Undergrad:

NA","Interested in Computer Science / Information Technology (Fall 2015)"
"adarshkumar.stupidsid","https://yocket.in/profiles/adarshkumar.stupidsid","","GRE

313 


Quant: 155

Verbal: 158","TOEFL
106","UG Score
64.61%","Work Exp.
NA","Tech Papers
None","","https://yocket.in/applications-admits-rejects/9-carnegie-mellon-university/2?page=2","Undergrad:

Electronics and Communication Engineering from Yadavrao Tasgaonkar Institute Of Engineering & Technology (YTIET), Bhivpuri, Mumbai","Computer Science (Fall 2013)"
