profile,profile-href,Name,GRE,TOEFL,UG_Score,work_exp,paper,nexpage,nexpage-href,background,year
"sid0094","https://yocket.in/profiles/sid0094","","GRE

313 


Quant: 163

Verbal: 150","TOEFL
110","UG Score
9.32CGPA","Work Exp.
36 months","Tech Papers
International","","","Undergrad:

Computer Science from guru nanak dev university, Amritsar","Interested in Computer Science / Information Technology (Fall 2017)"
"shashwat sanghavi","https://yocket.in/profiles/shashwat%20sanghavi","","GRE

314 


Quant: 167

Verbal: 147","TOEFL
100","UG Score
9.2CGPA","Work Exp.
8 months","Tech Papers
International","","","Undergrad:

Computer Science from Ahmedabad University, Ahmedabad","Interested in Computer Science / Information Technology (Fall 2017)"
"abhishekmalali","https://yocket.in/profiles/abhishekmalali","","GRE

327 


Quant: 170

Verbal: 157","TOEFL
107","UG Score
9.5CGPA","Work Exp.
20 months","Tech Papers
International","","https://yocket.in/applications-admits-rejects/210-stanford-university/3?page=2","Undergrad:

NA","Interested in Computer Science / Information Technology (Fall 2015)"
"tushardadlani.stupidsid","https://yocket.in/profiles/tushardadlani.stupidsid","","GRE

314 


Quant: 164

Verbal: 150","TOEFL
108","UG Score
7.57CGPA","Work Exp.
NA","Tech Papers
None","","https://yocket.in/applications-admits-rejects/210-stanford-university/3?page=2","Undergrad:

Computer Science from Manipal Institute of Technology (MIT), Manipal","Computer Science (Fall 2013)"
"abhyu007","https://yocket.in/profiles/abhyu007","","GRE

330 


Quant: 170

Verbal: 160","TOEFL
115","UG Score
8.04CGPA","Work Exp.
20 months","Tech Papers
None","","","Undergrad:

Electrical and Electronics Engineering from IIT Roorkee, Roorkee","Computer Science (Fall 2016)"
"sarthakssl","https://yocket.in/profiles/sarthakssl","","GRE

327 


Quant: 164

Verbal: 163","TOEFL
111","UG Score
9.35CGPA","Work Exp.
NA","Tech Papers
Local","","","Undergrad:

Computer Science from Apex International Institute of Technology, Kota, Kurukshetra","Interested in Computer Science / Information Technology (Fall 2017)"
"djmehta0426","https://yocket.in/profiles/djmehta0426","","GRE

287 


Quant: 147

Verbal: 140","IELTS
5.5","UG Score
49.78%","Work Exp.
NA","Tech Papers
Local","","https://yocket.in/applications-admits-rejects/210-stanford-university/3?page=2","Undergrad:

Computer Science from Shree Devi Institute Of Technology, Mangaluru","Interested in Computer Science / Information Technology (Spring 2016)"
"rahul003","https://yocket.in/profiles/rahul003","","GRE

329 


Quant: 165

Verbal: 164","TOEFL
118","UG Score
8.34CGPA","Work Exp.
10 months","Tech Papers
None","","https://yocket.in/applications-admits-rejects/210-stanford-university/3?page=2","Undergrad:

NA","Interested in Computer Science / Information Technology (Fall 2015)"
"srivathsa","https://yocket.in/profiles/srivathsa","","GRE

321 


Quant: 162

Verbal: 159","TOEFL
114","UG Score
8.33CGPA","Work Exp.
33 months","Tech Papers
NA","","","Undergrad:

Computer Science from Jerusalem College of Engineering, Narayanapuram, Pallikaranai, Velachery, Chennai","Interested in Computer Science / Information Technology (Fall 2017)"
"prasoontelang","https://yocket.in/profiles/prasoontelang","","GRE

315 


Quant: 165

Verbal: 150","TOEFL
95","UG Score
8.65CGPA","Work Exp.
30 months","Tech Papers
None","","","Undergrad:

Information Technology from PES Institute Of Technology (PES University), Bengaluru","Interested in Computer Science / Information Technology (Fall 2016)"
"vinit5320","https://yocket.in/profiles/vinit5320","","GRE

309 


Quant: 168

Verbal: 141","TOEFL
103","UG Score
7.04CGPA","Work Exp.
10 months","Tech Papers
None","","https://yocket.in/applications-admits-rejects/210-stanford-university/3?page=2","Undergrad:

Information Technology from Dwarkadas Jamnadas Sanghvi College of Engineering, Mumbai","Computer Science (Spring 2016)"
"krishnabhargava.stupidsid","https://yocket.in/profiles/krishnabhargava.stupidsid","","GRE

328 


Quant: 170

Verbal: 158","TOEFL
110","UG Score
83.43%","Work Exp.
10 months","Tech Papers","","https://yocket.in/applications-admits-rejects/210-stanford-university/3?page=2","Undergrad:

Computer Science from Sir M. Visvesvaraya Institute Of Technology (MVIT), Bengaluru","Computer Science (Fall 2013)"
"malhar1995","https://yocket.in/profiles/malhar1995","","GRE

325 


Quant: 170

Verbal: 155","TOEFL
115","UG Score
9.35CGPA","Work Exp.
3 months","Tech Papers
National","","","Undergrad:

BSc. Computer Science from IIT Hyderabad, Hyderabad","Interested in Computer Science / Information Technology (Fall 2017)"
"varunnagaraj","https://yocket.in/profiles/varunnagaraj","","GRE

310 


Quant: 161

Verbal: 149","TOEFL
106","UG Score
8.4CGPA","Work Exp.
6 months","Tech Papers
None","","","Undergrad:

Computer Science from BNM Institute Of Technology, Bengaluru","Interested in Computer Science / Information Technology (Fall 2016)"
"desh2608","https://yocket.in/profiles/desh2608","","GRE

334 


Quant: 168

Verbal: 166","TOEFL
119","UG Score
9.3CGPA","Work Exp.
2 months","Tech Papers
International","","","Undergrad:

Computer Science from Indian Institute of Technology, Guwahati (IIT-G), Guwahati","Interested in Computer Science / Information Technology (Fall 2017)"
"Pandian","https://yocket.in/profiles/Pandian","","GRE

330 


Quant: 170

Verbal: 160","TOEFL
112","UG Score
9.47CGPA","Work Exp.
22 months","Tech Papers
None","","","Undergrad:

Computer Science from college of engineering, guindy, Chennai","Interested in Computer Science / Information Technology (Fall 2016)"
"namita411","https://yocket.in/profiles/namita411","","GRE

328 


Quant: 166

Verbal: 162","TOEFL
115","UG Score
8.55CGPA","Work Exp.
10 months","Tech Papers
International","","","Undergrad:

Computer Science from K. J. Somaiya College Of Engineering, Mumbai, Mumbai","Computer Science (Fall 2016)"
"sagardmni","https://yocket.in/profiles/sagardmni","","GRE

333 


Quant: 165

Verbal: 168","TOEFL
117","UG Score
75%","Work Exp.
30 months","Tech Papers
None","","","Undergrad:

Computer Science from Pune Institute Of Computer Technology, Dhakavdi, Pune","Interested in Computer Science / Information Technology (Fall 2016)"
