profile,profile-href,Name,GRE,TOEFL,UG_Score,work_exp,paper,nexpage,nexpage-href,background,year
"Saipriya","https://yocket.in/profiles/Saipriya","","GRE

282 


Quant: 147

Verbal: 135","IELTS
6.5","UG Score
77%","Work Exp.
NA","Tech Papers
None","","https://yocket.in/applications-admits-rejects/1860-california-state-university-fullerton/2?page=3","Undergrad:

Computer Science from Matrusri Engineering College, Saidabad, Hyderabad","Computer Science (Fall 2016)"
"nikhil Kapleshwari","https://yocket.in/profiles/nikhil%20Kapleshwari","","GRE

304 


Quant: 160

Verbal: 144","TOEFL
90","UG Score
66%","Work Exp.
30 months","Tech Papers
None","","https://yocket.in/applications-admits-rejects/1860-california-state-university-fullerton/2?page=3","Undergrad:

Information Technology from Datta Meghe College Of Engineering, Airoli, Mumbai","Computer Engineering (Fall 2016)"
"nileshpandey3","https://yocket.in/profiles/nileshpandey3","","GRE

NA","TOEFL
105","UG Score
74.14%","Work Exp.
NA","Tech Papers
National","","https://yocket.in/applications-admits-rejects/1860-california-state-university-fullerton/2?page=5","Undergrad:

Information Technology from KDKCE, Nagpur","Interested in Computer Science / Information Technology (Fall 2015)"
"annu123","https://yocket.in/profiles/annu123","","GRE

306 


Quant: 159

Verbal: 147","TOEFL
95","UG Score
7.75CGPA","Work Exp.
NA","Tech Papers
None","","","Undergrad:

Computer Science from Visvesvaraya Technological University, Belagaavi","Computer Science (Fall 2017)"
"iamsupreeth","https://yocket.in/profiles/iamsupreeth","","GRE

295 


Quant: 154

Verbal: 141","IELTS
6.5","UG Score
65.7%","Work Exp.
15 months","Tech Papers
None","","https://yocket.in/applications-admits-rejects/1860-california-state-university-fullerton/2?page=2","Undergrad:

Computer Science from vtu, Belagaavi","Computer Science (Fall 2017)"
"sumukhahr","https://yocket.in/profiles/sumukhahr","","GRE

297 


Quant: 148

Verbal: 149","TOEFL
81","UG Score
66%","Work Exp.
17 months","Tech Papers
None","","https://yocket.in/applications-admits-rejects/1860-california-state-university-fullerton/2?page=4","Undergrad:

Information Technology from Bnmit, Bengaluru","Computer Science (Fall 2016)"
"Anish24","https://yocket.in/profiles/Anish24","","GRE

300 


Quant: 156

Verbal: 144","TOEFL
85","UG Score
8.2CGPA","Work Exp.
NA","Tech Papers
None","","","Undergrad:

Computer Science from University of Mumbai, Mumbai","Computer Science (Fall 2017)"
"karthiknhsatgmail.com","https://yocket.in/profiles/karthiknhsatgmail.com","","GRE

298 


Quant: 155

Verbal: 143","TOEFL
102","UG Score
75.6%","Work Exp.
30 months","Tech Papers
None","","https://yocket.in/applications-admits-rejects/1860-california-state-university-fullerton/2?page=5","Undergrad:

NA","Interested in Computer Science / Information Technology (Spring 2016)"
"chinmay999","https://yocket.in/profiles/chinmay999","","GRE

303 


Quant: 158

Verbal: 145","TOEFL/IELTS
N.A.","UG Score
65%","Work Exp.
30 months","Tech Papers
International","","https://yocket.in/applications-admits-rejects/1860-california-state-university-fullerton/2?page=3","Undergrad:

Computer Science from DJ Sanghvi College Of Engineering, Vile Parle, Mumbai","Interested in Computer Science / Information Technology (Fall 2016)"
"hraj1994","https://yocket.in/profiles/hraj1994","","GRE

315 


Quant: 162

Verbal: 153","TOEFL
100","UG Score
64.82%","Work Exp.
NA","Tech Papers
National","","","Undergrad:

Computer Science from Pune University, Pune","Computer Science (Fall 2017)"
"palaklodha","https://yocket.in/profiles/palaklodha","","GRE

302 


Quant: 156

Verbal: 146","TOEFL
100","UG Score
63%","Work Exp.
NA","Tech Papers
None","","https://yocket.in/applications-admits-rejects/1860-california-state-university-fullerton/2?page=3","Undergrad:

Information Technology from MITCOE , Pune","Computer Science (Fall 2016)"
"mohit2499","https://yocket.in/profiles/mohit2499","","GRE

303 


Quant: 162

Verbal: 141","TOEFL
96","UG Score
7CGPA","Work Exp.
10 months","Tech Papers
None","","https://yocket.in/applications-admits-rejects/1860-california-state-university-fullerton/2?page=4","Undergrad:

Information Technology from SVITS, Indore","Management Information System (Fall 2016)"
"Adimau","https://yocket.in/profiles/Adimau","","GRE

307 


Quant: 158

Verbal: 149","TOEFL
101","UG Score
64%","Work Exp.
24 months","Tech Papers
International","","","Undergrad:

Computer Science from Sinhagad Institute Of Technology, Lonavala, Pune","Interested in Computer Science / Information Technology (Fall 2017)"
"thorveakshay","https://yocket.in/profiles/thorveakshay","","GRE

302 


Quant: 157

Verbal: 145","TOEFL
86","UG Score
65%","Work Exp.
38 months","Tech Papers
International","","https://yocket.in/applications-admits-rejects/1860-california-state-university-fullerton/2?page=4","Undergrad:

Information Technology from University of Pune, Pune","Computer Science (Fall 2016)"
"DNP099","https://yocket.in/profiles/DNP099","","GRE

appearing
24 Oct","IELTS
7","UG Score
7.86CGPA","Work Exp.
4 months","Tech Papers
None","","","Undergrad:

Information Technology from Charotar University Of Science And Technology , Anand","Interested in Computer Science / Information Technology (Fall 2017)"
"Kashyap Sodha","https://yocket.in/profiles/Kashyap%20Sodha","","GRE

302 


Quant: 160

Verbal: 142","TOEFL
81","UG Score
64%","Work Exp.
19 months","Tech Papers
Local","","","Undergrad:

Computer Science from Thakur College Of Engineering And Technology, Kandivali, Mumbai","Computer Science (Fall 2017)"
"saurabh265","https://yocket.in/profiles/saurabh265","","GRE

309 


Quant: 163

Verbal: 146","TOEFL
99","UG Score
54%","Work Exp.
NA","Tech Papers
Local","","https://yocket.in/applications-admits-rejects/1860-california-state-university-fullerton/2?page=5","Undergrad:

Computer Science from Fr. C. Rodrigues Institute Of Technology, Vashi, Mumbai","Interested in Computer Science / Information Technology (Fall 2015)"
"rahulshetty21","https://yocket.in/profiles/rahulshetty21","","GRE

301 


Quant: 159

Verbal: 142","IELTS
8","UG Score
56%","Work Exp.
38 months","Tech Papers
None","","https://yocket.in/applications-admits-rejects/1860-california-state-university-fullerton/2?page=3","Undergrad:

Electrical and Electronics Engineering from AISSMS IOIT , Pune","Interested in Computer Science / Information Technology (Fall 2016)"
"leenavasani1212","https://yocket.in/profiles/leenavasani1212","","GRE

303 


Quant: 158

Verbal: 145","TOEFL
95","UG Score
54%","Work Exp.
10 months","Tech Papers
International","","https://yocket.in/applications-admits-rejects/1860-california-state-university-fullerton/2?page=3","Undergrad:

Information Technology from St Francis Institute Of Technology, Mumbai","Interested in Computer Science / Information Technology (Fall 2016)"
"abhi009s","https://yocket.in/profiles/abhi009s","","GRE

299 


Quant: 154

Verbal: 145","TOEFL
96","UG Score
58%","Work Exp.
23 months","Tech Papers
None","","https://yocket.in/applications-admits-rejects/1860-california-state-university-fullerton/2?page=2","Undergrad:

Information Technology from Mahatma Gandhi Mission College of Engineering And Technology, Mumbai, Navi Mumbai","Interested in Computer Science / Information Technology (Fall 2016)"
"c.padsalaatgmail.com","https://yocket.in/profiles/c.padsalaatgmail.com","","GRE

296 


Quant: 152

Verbal: 144","TOEFL
82","UG Score
66.18%","Work Exp.
NA","Tech Papers
International","","https://yocket.in/applications-admits-rejects/1860-california-state-university-fullerton/2?page=4","Undergrad:

Computer Science from Atharva College Of Engineering, Malad, Mumbai","Computer Science (Fall 2016)"
"shweta2602","https://yocket.in/profiles/shweta2602","","GRE

301 


Quant: 155

Verbal: 146","TOEFL
95","UG Score
57%","Work Exp.
NA","Tech Papers
None","","https://yocket.in/applications-admits-rejects/1860-california-state-university-fullerton/2?page=5","Undergrad:

NA","Interested in Computer Science / Information Technology (Fall 2015)"
"EhaSah","https://yocket.in/profiles/EhaSah","","GRE

301 


Quant: 156

Verbal: 145","TOEFL
90","UG Score
67%","Work Exp.
33 months","Tech Papers
Local","","","Undergrad:

Computer Science from Thakur College Of Engineering And Technology, Kandivali, Mumbai","Computer Science (Fall 2017)"
"cdhanu8538atgmail.com","https://yocket.in/profiles/cdhanu8538atgmail.com","","GRE

300 


Quant: 159

Verbal: 141","TOEFL
89","UG Score
66.33%","Work Exp.
29 months","Tech Papers
None","","https://yocket.in/applications-admits-rejects/1860-california-state-university-fullerton/2?page=3","Undergrad:

Information Technology from Datta Meghe College Of Engineering, Airoli, Mumbai","Interested in Computer Science / Information Technology (Fall 2016)"
"vishalrajapureatgmail.com","https://yocket.in/profiles/vishalrajapureatgmail.com","","GRE

303 


Quant: 153

Verbal: 150","TOEFL
84","UG Score
67%","Work Exp.
30 months","Tech Papers
International","","","Undergrad:

Computer Science from sinhagad engineering college, Pune, Pune","Interested in Computer Science / Information Technology (Fall 2017)"
"dhaval31","https://yocket.in/profiles/dhaval31","","GRE

294 


Quant: 158

Verbal: 136","TOEFL
87","UG Score
61%","Work Exp.
NA","Tech Papers
None","","https://yocket.in/applications-admits-rejects/1860-california-state-university-fullerton/2?page=5","Undergrad:

Computer Science from Shree L. R. Tiwari College of Engineering, Mira-Bhayandar","Interested in Computer Science / Information Technology (Fall 2015)"
"psp","https://yocket.in/profiles/psp","","GRE

288 


Quant: 148

Verbal: 140","TOEFL/IELTS
N.A.","UG Score
6.6CGPA","Work Exp.
3 months","Tech Papers
None","","https://yocket.in/applications-admits-rejects/1860-california-state-university-fullerton/2?page=3","Undergrad:

Computer Science from Aravali Institute of Technical Studies, Udaipur","Computer Science (Spring 2017)"
"ajayshenoy","https://yocket.in/profiles/ajayshenoy","","GRE

297 


Quant: 155

Verbal: 142","TOEFL
84","UG Score
9.35CGPA","Work Exp.
NA","Tech Papers
None","","https://yocket.in/applications-admits-rejects/1860-california-state-university-fullerton/2?page=4","Undergrad:

Computer Science from NMAM Institute of Technology, Nitte, Kaarkala","Interested in Computer Science / Information Technology (Fall 2016)"
"Aniruddh","https://yocket.in/profiles/Aniruddh","","GRE

appearing
19 Apr","TOEFL
80","UG Score
74%","Work Exp.
30 months","Tech Papers
None","","https://yocket.in/applications-admits-rejects/1860-california-state-university-fullerton/2?page=4","Undergrad:

Information Technology from KLS Gogte Institute Of Technology, Belgaum","Computer Science (Fall 2016)"
"ammukavya","https://yocket.in/profiles/ammukavya","","GRE

290 


Quant: 143

Verbal: 147","IELTS
6.5","UG Score
72%","Work Exp.
NA","Tech Papers
None","","https://yocket.in/applications-admits-rejects/1860-california-state-university-fullerton/2?page=5","Undergrad:

Electronics and Communication Engineering from JNTUH, Hyderabad","Interested in Computer Science / Information Technology (Fall 2015)"
"dnyanada25","https://yocket.in/profiles/dnyanada25","","GRE

304 


Quant: 159

Verbal: 145","TOEFL
92","UG Score
65%","Work Exp.
6 months","Tech Papers
International","","https://yocket.in/applications-admits-rejects/1860-california-state-university-fullerton/2?page=4","Undergrad:

Information Technology from University of Mumbai, Mumbai","Computer Science (Fall 2016)"
"abaner","https://yocket.in/profiles/abaner","","GRE

300 


Quant: 158

Verbal: 142","TOEFL
95","UG Score
8.92CGPA","Work Exp.
27 months","Tech Papers
International","","https://yocket.in/applications-admits-rejects/1860-california-state-university-fullerton/2?page=2","Undergrad:

Computer Science from MS Ramaiah Institute Of Techniology, Bengaluru","Interested in Computer Science / Information Technology (Fall 2017)"
"dheepakg","https://yocket.in/profiles/dheepakg","","GRE

305 


Quant: 157

Verbal: 148","TOEFL
97","UG Score
7.9CGPA","Work Exp.
17 months","Tech Papers
International","","https://yocket.in/applications-admits-rejects/1860-california-state-university-fullerton/2?page=2","Undergrad:

Information Technology from Sri Ramakishna Engineering College . , Coimbatore","Interested in Computer Science / Information Technology (Fall 2017)"
"vibodh01","https://yocket.in/profiles/vibodh01","","GRE

306 


Quant: 162

Verbal: 144","TOEFL
99","UG Score
64%","Work Exp.
29 months","Tech Papers
None","","https://yocket.in/applications-admits-rejects/1860-california-state-university-fullerton/2?page=3","Undergrad:

Computer Science from Atharva College Of Engineering, Malad, Mumbai","Interested in Computer Science / Information Technology (Fall 2016)"
"Hemanth c","https://yocket.in/profiles/Hemanth%20c","","GRE

296 


Quant: 155

Verbal: 141","TOEFL
82","UG Score
75%","Work Exp.
15 months","Tech Papers
None","","https://yocket.in/applications-admits-rejects/1860-california-state-university-fullerton/2?page=2","Undergrad:

Computer Science from PESIT South Campus (PESSE), Bengaluru","Interested in Computer Science / Information Technology (Fall 2017)"
"Ashwini Pillai","https://yocket.in/profiles/Ashwini%20Pillai","","GRE

300 


Quant: 156

Verbal: 144","TOEFL
95","UG Score
75%","Work Exp.
17 months","Tech Papers
International","","https://yocket.in/applications-admits-rejects/1860-california-state-university-fullerton/2?page=2","Undergrad:

Computer Science from Sir M. Visvesvaraya Institute Of Technology (MVIT), Bengaluru","Information Technology (Fall 2017)"
"Yathig92","https://yocket.in/profiles/Yathig92","","GRE

291 


Quant: 151

Verbal: 140","TOEFL
94","UG Score
70%","Work Exp.
24 months","Tech Papers
None","","https://yocket.in/applications-admits-rejects/1860-california-state-university-fullerton/2?page=2","Undergrad:

Information Technology from Nagarjuna College Of Engineering And Technology, Bengaluru","Interested in Computer Science / Information Technology (Fall 2017)"
"bhushanyavagal","https://yocket.in/profiles/bhushanyavagal","","GRE

303 


Quant: 155

Verbal: 148","TOEFL
94","UG Score
6.44CGPA","Work Exp.
NA","Tech Papers
None","","https://yocket.in/applications-admits-rejects/1860-california-state-university-fullerton/2?page=5","Undergrad:

NA","Computer Science (Fall 2015)"
"stupidpk31","https://yocket.in/profiles/stupidpk31","","GRE

314 


Quant: 162

Verbal: 152","TOEFL
104","UG Score
67%","Work Exp.
38 months","Tech Papers
National","","","Undergrad:

Information Technology from University of Mumbai, Mumbai","Interested in Computer Science / Information Technology (Fall 2017)"
"JyoNikam","https://yocket.in/profiles/JyoNikam","","GRE

310 


Quant: 164

Verbal: 146","TOEFL
96","UG Score
65%","Work Exp.
22 months","Tech Papers
International","","","Undergrad:

Computer Science from Maeer's MIT College Of Engineering, Kothrud, Pune","Interested in Computer Science / Information Technology (Fall 2017)"
"sanjanaraj","https://yocket.in/profiles/sanjanaraj","","GRE

299 


Quant: 151

Verbal: 148","TOEFL
110","UG Score
66.8%","Work Exp.
NA","Tech Papers
National","","https://yocket.in/applications-admits-rejects/1860-california-state-university-fullerton/2?page=3","Undergrad:

Computer Science from BMSIT, Bengaluru","Computer Science (Fall 2016)"
"ekta05","https://yocket.in/profiles/ekta05","","GRE

303 


Quant: 156

Verbal: 147","TOEFL
101","UG Score
7.63CGPA","Work Exp.
NA","Tech Papers
None","","","Undergrad:

Computer Science from Vivekanand Education Society's Institute Of Technology (VESIT), Chembur, Mumbai","Interested in Computer Science / Information Technology (Fall 2017)"
"Omkar22","https://yocket.in/profiles/Omkar22","","GRE

298 


Quant: 153

Verbal: 145","TOEFL
101","UG Score
68.68%","Work Exp.
27 months","Tech Papers
None","","","Undergrad:

Information Technology from Vidyalankar Institute Of Technology (VIT), Wadala, Mumbai","Computer Science (Fall 2017)"
"Suchit","https://yocket.in/profiles/Suchit","","GRE

293 


Quant: 157

Verbal: 136","IELTS
6.5","UG Score
8.23CGPA","Work Exp.
NA","Tech Papers
None","","https://yocket.in/applications-admits-rejects/1860-california-state-university-fullerton/2?page=3","Undergrad:

Computer Science from SVIT,VASAD, Anand","Interested in Computer Science / Information Technology (Fall 2016)"
"santoryuu","https://yocket.in/profiles/santoryuu","","GRE

303 


Quant: 158

Verbal: 145","TOEFL
89","UG Score
71%","Work Exp.
22 months","Tech Papers
NA","","","Undergrad:

Computer Science from BNM Institute Of Technology, Bengaluru","Computer Science (Fall 2017)"
"SaloniK1994","https://yocket.in/profiles/SaloniK1994","","GRE

302 


Quant: 153

Verbal: 149","TOEFL
86","UG Score
70.13%","Work Exp.
10 months","Tech Papers
International","","https://yocket.in/applications-admits-rejects/1860-california-state-university-fullerton/2?page=2","Undergrad:

Computer Science from Savitribai Phule Pune University, Pune","Computer Engineering (Fall 2017)"
"rohank","https://yocket.in/profiles/rohank","","GRE

316 


Quant: 163

Verbal: 153","TOEFL
108","UG Score
7CGPA","Work Exp.
8 months","Tech Papers
International","","https://yocket.in/applications-admits-rejects/1860-california-state-university-fullerton/2?page=3","Undergrad:

Computer Science from KJSCE, Mumbai","Computer Science (Fall 2017)"
"praveenknjun12","https://yocket.in/profiles/praveenknjun12","","GRE

293 


Quant: 146

Verbal: 147","TOEFL
81","UG Score
68%","Work Exp.
36 months","Tech Papers
None","","https://yocket.in/applications-admits-rejects/1860-california-state-university-fullerton/2?page=4","Undergrad:

Computer Science from National Institute of Technology Delhi, New Delhi","Computer Science (Fall 2016)"
"kprahulraj","https://yocket.in/profiles/kprahulraj","","GRE

308 


Quant: 161

Verbal: 147","TOEFL
98","UG Score
8.33CGPA","Work Exp.
30 months","Tech Papers
NA","","","Undergrad:

Electronics and Communication Engineering from TKM College of Engineering, Kollam","Interested in Computer Science / Information Technology (Fall 2017)"
"abhi883388","https://yocket.in/profiles/abhi883388","","GRE

309 


Quant: 162

Verbal: 147","TOEFL
108","UG Score
76%","Work Exp.
45 months","Tech Papers
None","","https://yocket.in/applications-admits-rejects/1860-california-state-university-fullerton/2?page=4","Undergrad:

Electronics and Communication Engineering from GNDU, Amritsar","Interested in Computer Science / Information Technology (Fall 2016)"
"shweta","https://yocket.in/profiles/shweta","","GRE

307 


Quant: 154

Verbal: 153","TOEFL
109","UG Score
61.07%","Work Exp.
18 months","Tech Papers
None","","https://yocket.in/applications-admits-rejects/1860-california-state-university-fullerton/2?page=4","Undergrad:

Information Technology from Atria Institute Of Technology, Bengaluru","Interested in Computer Science / Information Technology (Fall 2016)"
"Ajinkya77k","https://yocket.in/profiles/Ajinkya77k","","GRE

300 


Quant: 161

Verbal: 139","TOEFL
81","UG Score
66.88%","Work Exp.
44 months","Tech Papers
International","","","Undergrad:

Computer Science from Maeer's MIT College Of Engineering, Kothrud, Pune","Interested in Computer Science / Information Technology (Fall 2017)"
"minid","https://yocket.in/profiles/minid","","GRE

292 


Quant: 152

Verbal: 140","IELTS
7","UG Score
63.25%","Work Exp.
NA","Tech Papers
National","","https://yocket.in/applications-admits-rejects/1860-california-state-university-fullerton/2?page=5","Undergrad:

JNTUK, Kakinada","Interested in Computer Science / Information Technology (Spring 2016)"
"Ayyanchira","https://yocket.in/profiles/Ayyanchira","","GRE

308 


Quant: 160

Verbal: 148","TOEFL
93","UG Score
63.85%","Work Exp.
30 months","Tech Papers
None","","https://yocket.in/applications-admits-rejects/1860-california-state-university-fullerton/2?page=2","Undergrad:

Computer Science from Sanjay Ghodawat Insitutte, Kolhapur","Interested in Computer Science / Information Technology (Fall 2017)"
"Madhi","https://yocket.in/profiles/Madhi","","GRE

0 


Quant: 

Verbal:","TOEFL
0","UG Score
66%","Work Exp.
12 months","Tech Papers
National","","","Undergrad:

Computer Science from Rajiv Gandhi College of Engineering and Technology, Nagpur","Interested in Computer Science / Information Technology (Fall 2017)"
"falicity","https://yocket.in/profiles/falicity","","GRE

290 


Quant: 158

Verbal: 132","TOEFL
82","UG Score
7.87CGPA","Work Exp.
NA","Tech Papers
None","","https://yocket.in/applications-admits-rejects/1860-california-state-university-fullerton/2?page=3","Undergrad:

Computer Science from SVIT,VASAD, Anand","Computer Science (Fall 2016)"
"Wade","https://yocket.in/profiles/Wade","","GRE

308 


Quant: 161

Verbal: 147","TOEFL
104","UG Score
62%","Work Exp.
3 months","Tech Papers
NA","","https://yocket.in/applications-admits-rejects/1860-california-state-university-fullerton/2?page=2","Undergrad:

Computer Science from Pimpri Chinchwad College Of Engineering, Pune","Computer Science (Fall 2017)"
"imnj","https://yocket.in/profiles/imnj","","GRE

297 


Quant: 157

Verbal: 140","TOEFL
85","UG Score
8CGPA","Work Exp.
8 months","Tech Papers
None","","https://yocket.in/applications-admits-rejects/1860-california-state-university-fullerton/2?page=4","Undergrad:

Computer Science from Ahmedabad Institute of Technology, Ahmedabad","Interested in Computer Science / Information Technology (Fall 2016)"
"PunitJain","https://yocket.in/profiles/PunitJain","","GRE

288 


Quant: 147

Verbal: 141","TOEFL
83","UG Score
69%","Work Exp.
49 months","Tech Papers
None","","https://yocket.in/applications-admits-rejects/1860-california-state-university-fullerton/2?page=3","Undergrad:

Computer Science from Bharati Vidyapeeth University, Pune","Interested in Computer Science / Information Technology (Fall 2016)"
"vamsi.koneru1","https://yocket.in/profiles/vamsi.koneru1","","GRE

296 


Quant: 155

Verbal: 141","IELTS
6.5","UG Score
7.26CGPA","Work Exp.
5 months","Tech Papers
National","","https://yocket.in/applications-admits-rejects/1860-california-state-university-fullerton/2?page=3","Undergrad:

Computer Science from Amrita University, Coimbatore","Computer Science (Fall 2017)"
"eizat","https://yocket.in/profiles/eizat","","GRE

304 


Quant: 154

Verbal: 150","TOEFL
99","UG Score
76.35%","Work Exp.
1 month","Tech Papers
None","","https://yocket.in/applications-admits-rejects/1860-california-state-university-fullerton/2?page=2","Undergrad:

Information Technology from Acharaya Institute Of Technology, Bengaluru","Interested in Computer Science / Information Technology (Fall 2017)"
"alpesh31","https://yocket.in/profiles/alpesh31","","GRE

294 


Quant: 153

Verbal: 141","TOEFL
81","UG Score
6.14CGPA","Work Exp.
24 months","Tech Papers
International","","https://yocket.in/applications-admits-rejects/1860-california-state-university-fullerton/2?page=2","Undergrad:

Information Technology from K J Somaiya Institute of Engineering and Information Technology, Mumbai","Computer Science (Fall 2017)"
"asfg","https://yocket.in/profiles/asfg","","GRE

298 


Quant: 150

Verbal: 148","TOEFL
106","UG Score
64%","Work Exp.
6 months","Tech Papers
NA","","https://yocket.in/applications-admits-rejects/1860-california-state-university-fullerton/2?page=2","Undergrad:

Computer Science from CMRIT, Bengaluru","Computer Science (Fall 2017)"
"divya17","https://yocket.in/profiles/divya17","","GRE

296 


Quant: 151

Verbal: 145","TOEFL
84","UG Score
8.2CGPA","Work Exp.
NA","Tech Papers
National","","https://yocket.in/applications-admits-rejects/1860-california-state-university-fullerton/2?page=2","Undergrad:

Computer Science from Ramrao Adik Institute of Technology (RAIT), Nerul, Mumbai","Interested in Computer Science / Information Technology (Fall 2017)"
"Matt721","https://yocket.in/profiles/Matt721","","GRE

301 


Quant: 153

Verbal: 148","TOEFL
86","UG Score
83.4%","Work Exp.
NA","Tech Papers
None","","https://yocket.in/applications-admits-rejects/1860-california-state-university-fullerton/2?page=2","Undergrad:

Computer Science from Chinese culture university, Taipei","Interested in Computer Science / Information Technology (Fall 2017)"
"bharat0991","https://yocket.in/profiles/bharat0991","","GRE

302 


Quant: 159

Verbal: 143","TOEFL
90","UG Score
68%","Work Exp.
NA","Tech Papers
None","","https://yocket.in/applications-admits-rejects/1860-california-state-university-fullerton/2?page=5","Undergrad:

Computer Science from Jaipur Engineering College & Research Centre, Jaipur","Interested in Computer Science / Information Technology (Fall 2016)"
